Player,Team,Update,Details
Vlatko Čančar,DEN,"Thu, Aug 17, 2023",Out (Knee) - The Nuggets announced that Cancar underwent surgery on his left knee and is out indefinitely.
Julian Strawther,DEN,"Sun, Jan 7, 2024",Out (Knee) - Nuggets coach Michael Malone said there's no timetable for Strawther's return.
Isaiah Stewart,DET,"Sun, Jan 28, 2024",Day To Day (Ankle) - Stewart left Sunday's (Jan. 28) game against Oklahoma City and will not return.
Moses Moody,GSW,"Mon, Jan 22, 2024",Out (Calf) - Moody has been cleared to begin light individual on-court workouts and will be re-evaluated in one week.
Chris Paul,GSW,"Tue, Jan 9, 2024",Out (Hand) - The Warriors announced that Paul will be re-evaluated again in three weeks.
Gary Payton II,GSW,"Mon, Jan 22, 2024","Out (Hamstring) - Payton II will be re-evaluated in 2 weeks due to a left hamstring strain, per Warriors PR"
Tari Eason,HOU,"Wed, Jan 10, 2024",Out (Leg) - Rockets coach Ime Udoka said Eason needs a couple weeks to recover before returning to action.
Victor Oladipo,HOU,"Tue, Oct 24, 2023",Out (Knee) - Oladipo is out while recovering from a left patellar tendon repair.
Jabari Smith Jr.,HOU,"Sat, Jan 27, 2024",Day To Day (Ankle) - Smith Jr. did not play in Saturday's (Jan. 27) game against Brooklyn.
Tyrese Haliburton,IND,"Tue, Jan 23, 2024",Out (Hamstring) - Pacers coach Rick Carlisle said Haliburton will miss the next three games.
T.J. McConnell,IND,"Sun, Jan 28, 2024",Day To Day (Personal) - McConnell did not play in Sunday's (Jan. 28) game against Memphis.
Myles Turner,IND,"Sun, Jan 28, 2024",Day To Day (Back) - Turner did not play in Sunday's (Jan. 28) game against Memphis.
Moussa Diabaté,Los Angeles Clippers,"Mon, Dec 18, 2023",Out (Hip) - Diabate hasn't played since Nov. 30 against Golden State and remains without a timetable to return.
Ivica Zubac,Los Angeles Clippers,"Tue, Jan 16, 2024",Out (Calf) - Zubac is out with a calf strain and will be re-evaluated in 4 weeks.
Cam Reddish,LAL,"Fri, Jan 26, 2024",Out (Ankle) - The Lakers announced that Reddish was diagnosed with a right ankle sprain and will be re-evaluated in two weeks.
Gabe Vincent,LAL,"Mon, Dec 25, 2023","Out (Knee) - Vincent will undergo surgery and miss 6-8 weeks, according to Shams Charania of The Athletic."
Steven Adams,MEM,"Tue, Oct 24, 2023",Out For Season (Knee) - The Grizzlies announced that Adams will undergo season-ending surgery on his right knee.
Desmond Bane,MEM,"Sun, Jan 14, 2024",Out (Ankle) - The Grizzlies announced that Bane has a left ankle sprain and will be re-evaluated in six weeks.
Brandon Clarke,MEM,"Wed, Dec 20, 2023",Out (Achilles) - Clarke said he expects to make his season debut around the NBA All-Star break.
Luke Kennard,MEM,"Sun, Jan 28, 2024",Day To Day (Knee) - Kennard did not play in Sunday's (Jan. 28) game against Indiana.
Jake LaRavia,MEM,"Sun, Jan 14, 2024",Out (Ankle) - The Grizzlies announced that LaRavis has a Grade 2 high left ankle sprain and will be re-evaluated in three weeks.
Ja Morant,MEM,"Mon, Jan 8, 2024",Out For Season (Shoulder) - Grizzlies announced Ja Morant will undergo season-ending surgery on his shoulder.
Derrick Rose,MEM,"Wed, Jan 3, 2024",Out (Hamstring) - The Grizzlies announced that Rose is week-to-week.
Marcus Smart,MEM,"Thu, Jan 11, 2024","Out (Finger) - Smart suffered a severe right finger injury and will miss approximately six weeks, according to Shams Charania of The Athletic."
Dru Smith,MIA,"Fri, Nov 24, 2023",Out For Season (Knee) - Dru Smith has been diagnosed with a 3rd degree right knee sprain. He will be out for the remainder of the season.
Jaylen Clark,MIN,"Tue, Oct 24, 2023","Out (Achilles) - Clark is idle due to a right Achilles issue, and is not expected to make his season debut until sometime in February."
Mike Conley,MIN,"Sun, Jan 28, 2024",Day To Day (Hamstring) - Conley is questionable for Monday's (Jan. 29) game against Oklahoma City.
Julius Randle,NYK,"Sun, Jan 28, 2024",Out (Shoulder) - Randle is out for Monday's (Jan. 29) game against Cleveland.
Mitchell Robinson,NYK,"Wed, Dec 20, 2023","Out For Season (Ankle) - Robinson is expected to miss the rest of the season after undergoing ankle surgery last week, according to Shams Charania of The Athletic."
Gary Harris,ORL,"Sun, Jan 21, 2024",Out (Calf) - Harris hasn't played since Jan. 3 against Sacramento and remains without a timetable to return.
Mo Bamba,PHI,"Sat, Jan 27, 2024",Day To Day (Knee) - Bamba did not play in Saturday's (Jan. 27) game against Denver.
Robert Covington,PHI,"Wed, Jan 24, 2024","Out (Knee) - Covington will be re-evaluated in 3-4 weeks, according to Derek Bodner of PHLY Sports."
Joel Embiid,PHI,"Sat, Jan 27, 2024",Day To Day (Knee) - Embiid did not play in Saturday's (Jan. 27) game against Denver.
Tobias Harris,PHI,"Sat, Jan 27, 2024",Day To Day (Illness) - Harris did not play in Saturday's (Jan. 27) game against Denver.
Kenneth Lofton Jr.,PHI,"Sat, Jan 27, 2024",Day To Day (Personal) - Lofton did not play in Saturday's (Jan. 27) game against Denver.
Tyrese Maxey,PHI,"Sat, Jan 27, 2024",Day To Day (Ankle) - Maxey did not play in Saturday's (Jan. 27) game against Denver.
De'Anthony Melton,PHI,"Wed, Jan 24, 2024","Out (Back) - Melton will be re-evaluated in one week, according to Derek Bodner of PHLY Sports."
Bol Bol,PHX,"Sun, Jan 28, 2024",Out (Foot) - Bol hasn't played since Jan. 11 against the Lakers and remains without a timetable to return.
Damion Lee,PHX,"Sun, Oct 1, 2023",Out (Knee) - The Suns announced that Lee sustained a meniscus injury and will be out until further notice.
Jusuf Nurkić,PHX,"Sun, Jan 28, 2024",Out (Thumb) - Nurkic is out for Sunday's (Jan. 28) game against Orlando.
Malcolm Brogdon,POR,"Sat, Jan 27, 2024",Day To Day (Knee) - Brogdon is questionable for Sunday's (Jan. 28) game against Chicago.
Moses Brown,POR,"Mon, Jan 8, 2024",Out (Wrist) - The Trail Blazers announced that Brown will undergo surgery this week and a timeline for his return will be determined after surgery.
Jerami Grant,POR,"Sat, Jan 27, 2024",Day To Day (Back) - Grant is questionable for Sunday's (Jan. 28) game against Chicago.
Scoot Henderson,POR,"Sat, Jan 27, 2024",Day To Day (Quad) - Henderson is questionable for Sunday's (Jan. 28) game against Chicago.
Shaedon Sharpe,POR,"Mon, Jan 15, 2024",Out (Abdominal) - The Trail Blazers announced that Sharpe will be re-evaluated in two weeks after suffering a right abdominal strain.
Anfernee Simons,POR,"Sat, Jan 27, 2024",Day To Day (Rib) - Simons is questionable for Sunday's (Jan. 28) game against Chicago.
Jabari Walker,POR,"Sat, Jan 27, 2024",Day To Day (Knee) - Walker is questionable for Sunday's (Jan. 28) game against Chicago.
Robert Williams,POR,"Fri, Nov 10, 2023","Out For Season (Knee) - Williams III will be required to undergo season-ending knee surgery, per Adrian Wojnarowski."
Sasha Vezenkov,SAC,"Sun, Jan 28, 2024",Day To Day (Ankle) - Vezenkov did not play in Saturday's game (Jan. 27) against the Mavericks.
Charles Bassey,SAS,"Tue, Dec 12, 2023",Out For Season (Knee) - The San Antonio Spurs announced C Charles Bassey is out for the season with a torn ACL.
Zach Collins,SAS,"Sun, Jan 28, 2024",Day To Day (Ankle) - Collins is questionable for Monday's (Jan. 29) game against Washington.
RJ Barrett,TOR,"Sun, Jan 28, 2024",Out (Knee) - Barrett is out for Sunday's (Jan. 28) game against Atlanta.
Jakob Poeltl,TOR,"Sun, Jan 28, 2024",Out (Ankle) - Poeltl is out for Sunday's (Jan. 28) game against Atlanta.
Immanuel Quickley,TOR,"Sat, Jan 27, 2024",Out (Quad) - Quickley is out for Sunday's (Jan. 28) game against Atlanta.
Isaiah Livers,WAS,"Sun, Jan 28, 2024",Out (Hip) - Livers is out for Monday's (Jan. 29) game against San Antonio.
